epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,86.5696,2.13136,2.57647,3.43216,1.35532,0,0.07152,0.58145,0.25315,0.08396,0.06134,0.49875,0.18313,0.03933,2.21473,2.83655,3.94862,1.38874,0,0.000660131,0.000660131,0.0676536
2,131.152,1.89713,1.97222,1.83411,1.23625,0,0.50502,0.5549,0.50468,0.20578,0.50251,0.54935,0.48528,0.14545,1.82902,1.88528,1.83125,1.21871,0,0.00132676,0.00132676,0.0349869
3,171.571,1.89106,1.88783,1.79693,1.22788,0,0.60336,0.5614,0.56634,0.22488,0.59232,0.58897,0.59588,0.18657,1.83153,1.70525,3.08989,1.27482,0,0.00199335,0.00199335,0.00232015
4,251.116,1.84345,1.86295,1.72127,1.21504,0,0.4193,0.5972,0.44173,0.19445,0.42539,0.60401,0.4507,0.13182,1.72753,1.66182,2.11895,1.21383,0,0.0019998,0.0019998,0.0019998
5,288.9,1.82174,1.8166,1.68194,1.20109,0,0.57827,0.56391,0.53285,0.22763,0.58598,0.57143,0.52628,0.16119,1.73038,1.65099,3.12045,1.22603,0,0.00199958,0.00199958,0.00199958
6,353.561,1.78534,1.77701,1.58748,1.16232,0,0.6392,0.63494,0.63047,0.27118,0.61661,0.62479,0.61318,0.18321,1.68877,1.60757,1.47503,1.19259,0,0.00199944,0.00199944,0.00199944
7,403.457,1.72954,1.74207,1.53102,1.15965,0,0.62295,0.61404,0.63028,0.28472,0.64483,0.61905,0.62815,0.20872,1.7092,1.56135,1.47346,1.21309,0,0.00199916,0.00199916,0.00199916
8,449.021,1.75252,1.73563,1.58441,1.1731,0,0.67122,0.67419,0.68811,0.29967,0.66071,0.67419,0.67056,0.22204,1.75193,1.55619,1.51422,1.22227,0,0.00199891,0.00199891,0.00199891
9,505.794,1.6989,1.69481,1.44028,1.13502,0,0.64172,0.70175,0.66365,0.30269,0.66974,0.71178,0.69084,0.22373,1.68764,1.57,1.79658,1.18906,0,0.00199865,0.00199865,0.00199865
10,542.688,1.68286,1.6688,1.45453,1.13259,0,0.62501,0.71429,0.68327,0.32533,0.67547,0.66917,0.67561,0.2133,1.64845,1.52629,1.37655,1.15215,0,0.00199829,0.00199829,0.00199829
11,579.315,1.6856,1.65786,1.44055,1.11995,0,0.63916,0.69424,0.6919,0.33067,0.69224,0.65664,0.69963,0.21377,1.64493,1.59272,1.38087,1.16541,0,0.00199803,0.00199803,0.00199803
12,648.67,1.67142,1.67275,1.39216,1.1269,0,0.6671,0.69811,0.72322,0.33689,0.66751,0.68932,0.6957,0.21908,1.64428,1.61893,1.42123,1.14554,0,0.00199775,0.00199775,0.00199775
13,685.718,1.68853,1.64915,1.4021,1.13619,0,0.67034,0.73434,0.71598,0.30881,0.68786,0.72903,0.72784,0.22108,1.66633,1.53109,1.58712,1.15981,0,0.00199719,0.00199719,0.00199719
14,723.619,1.69042,1.68444,1.43324,1.14453,0,0.68908,0.70927,0.72156,0.33766,0.71261,0.71429,0.73262,0.23659,1.65226,1.606,1.28851,1.15748,0,0.00199685,0.00199685,0.00199685
15,769.203,1.65159,1.62689,1.39128,1.13074,0,0.64832,0.69925,0.72062,0.34361,0.69694,0.68421,0.70508,0.24026,1.58951,1.56954,1.35128,1.14967,0,0.0019965,0.0019965,0.0019965
16,806.048,1.64084,1.58552,1.37661,1.12911,0,0.67373,0.72455,0.71785,0.32867,0.67148,0.7193,0.68972,0.22305,1.63106,1.56725,1.29655,1.15585,0,0.00199604,0.00199604,0.00199604
17,873.577,1.66741,1.6569,1.37629,1.14646,0,0.69303,0.74687,0.74047,0.35,0.69144,0.73434,0.7119,0.22477,1.61465,1.54112,1.3219,1.15198,0,0.00199565,0.00199565,0.00199565
18,913.707,1.66677,1.65623,1.36628,1.11323,0,0.6546,0.72431,0.70034,0.34231,0.65177,0.7193,0.68836,0.21811,1.62944,1.51541,1.2806,1.14753,0,0.0019949,0.0019949,0.0019949
19,958.549,1.60081,1.63788,1.31598,1.10856,0,0.71752,0.73845,0.75192,0.36784,0.71577,0.71952,0.74982,0.24172,1.56683,1.50252,1.25738,1.13736,0,0.00199441,0.00199441,0.00199441
20,1010.61,1.62199,1.62995,1.28903,1.10704,0,0.694,0.66416,0.7003,0.34414,0.70545,0.66667,0.69265,0.22407,1.57625,1.50298,1.3466,1.14802,0,0.00199387,0.00199387,0.00199387
21,1061.57,1.59199,1.61363,1.29396,1.09739,0,0.69836,0.72932,0.75041,0.35237,0.71676,0.72936,0.73955,0.23326,1.61997,1.48138,1.23017,1.14111,0,0.00199318,0.00199318,0.00199318
22,1111.6,1.58971,1.57261,1.30636,1.10852,0,0.64505,0.71429,0.71127,0.36526,0.65001,0.71429,0.71713,0.26516,1.50995,1.52533,1.24417,1.10326,0,0.00199245,0.00199245,0.00199245
23,1148.65,1.62806,1.60428,1.28451,1.10176,0,0.67448,0.71664,0.72891,0.34798,0.70643,0.7193,0.7396,0.2461,1.58533,1.53094,1.31695,1.12298,0,0.00199175,0.00199175,0.00199175
24,1187.09,1.62074,1.58966,1.27898,1.10512,0,0.73476,0.70426,0.76252,0.37557,0.72227,0.6817,0.73694,0.2617,1.58745,1.52299,1.20429,1.12977,0,0.00199118,0.00199118,0.00199118
25,1226.58,1.6049,1.57945,1.25351,1.09469,0,0.72368,0.74687,0.77422,0.37215,0.72643,0.73935,0.7469,0.23843,1.61976,1.49151,1.27088,1.13145,0,0.00199058,0.00199058,0.00199058
26,1266.87,1.59928,1.59244,1.25551,1.11537,0,0.69382,0.73832,0.76864,0.38066,0.70324,0.74835,0.7769,0.25233,1.58641,1.48342,1.27437,1.13114,0,0.00198996,0.00198996,0.00198996
27,1305.67,1.5499,1.59206,1.23205,1.07973,0,0.71333,0.68421,0.74496,0.36384,0.72048,0.68922,0.73825,0.24077,1.53804,1.46208,1.31038,1.11179,0,0.0019893,0.0019893,0.0019893
28,1345.83,1.59921,1.573,1.21485,1.09338,0,0.69204,0.71679,0.74007,0.3519,0.68988,0.72431,0.73254,0.23527,1.59549,1.52195,1.35378,1.15988,0,0.00198862,0.00198862,0.00198862
29,1418.47,1.58865,1.58934,1.26891,1.1066,0,0.70235,0.68011,0.72654,0.35037,0.71458,0.68421,0.71657,0.25098,1.57657,1.46643,1.33189,1.16346,0,0.0019879,0.0019879,0.0019879
30,1457.99,1.56364,1.53544,1.24115,1.08843,0,0.71624,0.75188,0.76132,0.37571,0.72002,0.7594,0.74255,0.25116,1.57415,1.47753,1.22362,1.1216,0,0.00198655,0.00198655,0.00198655
31,1495.52,1.56706,1.54947,1.21415,1.08463,0,0.69184,0.74937,0.77213,0.38194,0.70526,0.71178,0.73792,0.24778,1.5742,1.45456,1.29959,1.14415,0,0.00198581,0.00198581,0.00198581
